持	 ug#用#序49152
帑	brr#类3#序19778
ベルリンの壁	brrc#类5#序21166
ブルーレイ	brri#类5#序21167
バラライカ	brrk#类5#序21169
ベリリウム	brrm#类5#序21170
ボールルーム	brrm#类5#序21170
バレリーナ	brrn#类5#序21171
ベルリン	brrn#类5#序21171
ベラルーシ	brrs#类5#序21172
ブリリアント	brrt#类5#序21173
努	brs#类3#序19780
ブルセラ病	brsa#类5#序21174
ブルセラ症	brsa#类5#序21174
ボルシチ	brsc#类5#序21175
建国記念	brsj#类4#序15281
ベルセルク	brsk#类5#序21176
努力	brsl#类4#序15451
バルサム	brsm#类5#序21177
バリソン	brsn#类5#序21178
バルセロナ	brsn#类5#序21178
ブロステップ	brsp#类5#序21179
ブルセラ	brsr#类5#序21180
ブレスト	brst#类5#序21181
バルサミコ酢	brsy#类5#序21183
ブリティッシュコロンビア	brta#类5#序21184
バラタナゴ	brtg#类5#序21185
バルトごは	brth#类5#序21186
バルトロマイ	brti#类5#序21187
ボルテージ	brtj#类5#序21188
ビュルテンベルク	brtk#类5#序21189
バルトリンせん	brtn#类5#序21190
ブリテン	brtn#类5#序21190
ブルターニュ	brtn#类5#序21190
ブルートゥース	brts#类5#序21191
バルトリン腺	brtv#类5#序21192
ブリテン諸島	brtx#类5#序21193
ベルトコンベヤ	brty#类5#序21194
ブラウザ	bruj#类5#序21195
ブラウザバック	bruk#类5#序21196
バリウム	brum#类5#序21197
ボーリウム	brum#类5#序21197
ブラウン	brun#类5#序21198
ブラウンかん	brun#类5#序21198
ブラウン管	brur#类5#序21199
ブラウス	brus#类5#序21200
拏	brus#类3#序19774
怒気	brvb#类4#序15443
ボロ負け	brxk#类5#序21201
バリ島	brxv#类5#序21202
奴	bry#类3#序19771
ビリヤード	bryd#类5#序21203
ブリヤート	bryt#类5#序21204
氏	bs#类3#序22217
ベースアップ	bsap#类5#序21205
ボース-アインシュタイン統計	bsas#类5#序21206
ボース゠アインシュタイン統計	bsas#类5#序21206
ボース＝アインシュタイン統計	bsas#类5#序21206
バスボム	bsbm#类5#序21207
ベースボール	bsbr#类5#序21208
バスブーサ	bsbs#类5#序21209
ビショビショ	bsbs#类5#序21209
ビスチェ	bsce#类5#序21210
ビュスチエ	bsce#类5#序21210
殺し屋	bscy#类5#序22091
バースデーカード	bsdd#类5#序21211
バースデーケーキ	bsdk#类5#序21212
バスドラム	bsdm#类5#序21213
氏神	bsfo#类4#序15937
嫡出子	bshi#类4#序15495
氏子	bshi#类4#序15949
強談判	bshu#类4#序15300
ブサイク	bsik#类5#序21214
バス停	bsjg#类5#序21215
バスジャック	bsjk#类5#序21216
バス代	bsjp#类5#序21217
バスクご	bskg#类5#序21218
ブサかわいい	bski#类5#序21219
バスケットボールシューズ	bskj#类5#序21220
ビシュケク	bskk#类5#序21221
ボス弁	bskl#类5#序21222
嬉し涙	bskm#类5#序22092
バスクじん	bskn#类5#序21223
バスケットボール	bskr#类5#序21224
ビスクドール	bskr#类5#序21224
バスク語	bsks#类5#序21225
バスクラリネット	bskt#类5#序21226
ビスケット	bskt#类5#序21226
ブサカワ	bskw#类5#序21227
ブスカワ	bskw#类5#序21227
氏名	bsld#类4#序15935
氏族	bsle#类4#序15924
ベーシックインカム	bslm#类5#序21228
バスーン	bsln#类5#序21229
バセットホルン	bsln#类5#序21229
ビショップ	bslp#类5#序21230
バスマティ	bsmi#类5#序21231
ビスマルク	bsmk#类5#序21232
ビスマーク	bsmk#类5#序21232
ビスミッラー	bsmr#类5#序21233
ビスマス	bsms#类5#序21234
バスマット	bsmt#类5#序21235
ボスニア	bsna#类5#序21236
ボスニア・ヘルツェゴビナ	bsnn#类5#序21238
ボスニア・ヘルツェゴヴィナ	bsnn#类5#序21238
ボスニア語	bsns#类5#序21239
ビーシー州	bsoo#类5#序21240
ボース粒子	bsph#类5#序21241
ベスポジ	bspj#类5#序21242
バスローブ	bsrb#类5#序21243
嫦	bsrj#类3#序19710
バシリカ	bsrk#类5#序21244
バシリスク	bsrk#类5#序21244
バソリス	bsrs#类5#序21245
バサリョテ	bsrt#类5#序21246
ベーシスト	bsst#类5#序21247
バストランド	bstd#类5#序21248
ベストプレイ	bsti#类5#序21249
バスタイム	bstm#类5#序21250
バスティーユ牢獄	bstm#类5#序21250
ボストン	bstn#类5#序21251
バストアップ	bstp#类5#序21252
バスタオル	bstr#类5#序21253
バステト	bstt#类5#序21254
ベストアクト	bstt#类5#序21254
建設的	bsun#类4#序15054
建設省	bsyt#类4#序15063
ビサヤ諸島	bsyx#类5#序21255
ブサ可愛い	bszi#类5#序21256
君	bt#类3#序19632
ベタ問	btad#类5#序21257
群青	btav#类4#序15176
妖婦	btbb#类4#序15149
妊娠	btbf#类4#序15151
ベートーベン	btbn#类5#序21258
妖女	btbn#类4#序15150
ビートボックス	btbs#类5#序21259
バタバタ	btbt#类5#序21260
ベタベタ	btbt#类5#序21260
ボトボト	btbt#类5#序21260
群居	btcc#类4#序15168
孃	btdf#类3#序19575
羣	btdg#类3#序19617
群	btdg#类3#序19616
郡	btdt#类3#序19619
孀	bte#类3#序19734
群棲	btef#类4#序15161
嬢様	bteg#类4#序15132
群舞	btel#类4#序15164
バタフライ	btfi#类5#序21261
バタフライこうか	btfk#类5#序21262
バタフライ効果	btfq#类5#序21263
びた一文	btfv#类5#序22093
妊	btg#类3#序19627
嬌声	btgc#类4#序15177
嬢	bthf#类3#序19610
君子	bthi#类4#序15185
妖怪	bthr#类4#序15169
バツイチ	btic#类5#序21265
郡部	btid#类4#序15153
ブティック	btik#类5#序21266
群立	btil#类4#序15152
建て網	btim#类5#序22094
バティカン	btin#类5#序21267
君主	btin#类4#序15143
ビューティフル	btir#类5#序21268
バタイユ	btiy#类5#序21269
群像	btjw#类4#序15147
ベトコン	btkn#类5#序21270
ベータカロテン	btkn#类5#序21270
ブタクサ	btks#类5#序21271
嬬	btle#类3#序19752
群落	btlk#类4#序15186
弥勒菩薩	btll#类4#序16100
バターン	btln#类5#序21272
群生	btls#类4#序15157
妖	btm#类3#序19631
ビタミン過剰症	btma#类5#序21273
ビタミンビー	btmb#类5#序21274
ビタミンビーいち	btmc#类5#序21275
嬌	btmd#类3#序19630
ビタミンエー	btme#类5#序21276
バターミルク	btmk#类5#序21278
ビタミンディーさん	btmn#类5#序21279
ビタミン剤	btmq#类5#序21280
ビタミンシー	btms#类5#序21281
ビタミンかじょうしょう	btmu#类5#序21282
バトンタッチ	btnc#类5#序21283
バーテンダー	btnd#类5#序21284
ボタン穴	btne#类5#序21285
バトントワリング	btng#类5#序21286
建て玉	btni#类5#序22095
バトンルージュ	btnj#类5#序21287
群雄	btnk#类4#序15183
バタンッ	btnl#类5#序21288
ベトナム	btnm#类5#序21289
群馬	btnm#类4#序15184
バタンガス	btns#类5#序21291
ベトナム戦争	btnx#类5#序21292
ブタ鼻	btoq#类5#序21293
尹	btp#类3#序19628
妖精	btpa#类4#序15167
妖術	btpe#类4#序15155
ベータ粒子	btph#类5#序21294
ベタ踏み	btpm#类5#序21295
ばた足	btpu#类5#序22096
バタ足	btpu#类5#序21296
君臣	btqc#类4#序15189
群臣	btqc#类4#序15187
書院造	btqd#类4#序15481
君臨	btqe#类4#序15188
ブートレッグ	btrg#类5#序21297
ビートルズ	btrj#类5#序21298
ボトルケージ	btrj#类5#序21298
ボトルネック	btrk#类5#序21299
ベツレヘム	btrm#类5#序21300
バテレン	btrn#类5#序21301
ベテラン	btrn#类5#序21301
ボトルグリーン	btrn#类5#序21301
ボトルキャップ	btrp#类5#序21302
ボトルシップ	btrp#类5#序21302
バトルライフル	btrr#类5#序21303
バトルロイヤル	btrr#类5#序21303
ベテルギウス	btrs#类5#序21304
ビタ止め	btsm#类5#序21305
群衆	btta#类4#序15156
群雲	bttb#类4#序15179
如雨露	bttp#类4#序15374
娥	btu#类3#序19614
群集	btue#类4#序15144
妖気	btvb#类4#序15163
ベートーヴェン	btvn#类5#序21307
婿	btvy#类3#序19668
充て字	btwh#类5#序22097
ボツワナ	btwn#类5#序21308
群島	btxv#类4#序15145
群小	btyx#类4#序15173
妖艶	btyz#类4#序15170
婀	btz#类3#序19790
ぶ	bu#类1#序15349
ブ	bu#次#序16381
尋	bu#类3#序19801
ぶあ	buaa#类1#序15117
ブア	buaa#次#序16119
尋問	buad#类4#序15499
ぶば	buba#类1#序15056
ブバ	buba#次#序16058
ぶびゅ	bubc#类1#序15015
ブビュ	bubc#次#序16017
ぶべ	bube#类1#序15053
ブベ	bube#次#序16055
ぶび	bubi#类1#序15055
ブビ	bubi#次#序16057
ぶぼ	bubo#类1#序15052
ブボ	bubo#次#序16054
建白書	bubo#类4#序15233
ぶぶ	bubu#类1#序15054
ブウブウ	bubu#类5#序21309
ブブ	bubu#次#序16056
ぶびゃ	bubv#类1#序15016
ブビャ	bubv#次#序16018
ぶびょ	bubx#类1#序15014
ブビョ	bubx#次#序16016
ぶちゅ	bucc#类1#序15039
ブチュ	bucc#次#序16041
兜虫	bucc#类4#序15245
ぶち	buci#类1#序15101
ブチ	buci#次#序16103
ぶちゃ	bucv#类1#序15040
ブチャ	bucv#次#序16042
ぶちょ	bucx#类1#序15038
ブチョ	bucx#次#序16040
ぶだ	buda#类1#序15061
ブダ	buda#次#序16063
ぶぢゅ	budc#类1#序15018
ブヂュ	budc#次#序16020
弦楽器	budd#类4#序15619
ぶで	bude#类1#序15058
ブデ	bude#次#序16060
ぶぢ	budi#类1#序15060
ブヂ	budi#次#序16062
ぶど	budo#类1#序15057
ブド	budo#次#序16059
ぶづ	budu#类1#序15059
ブヅ	budu#次#序16061
ぶぢゃ	budv#类1#序15019
ブヂャ	budv#次#序16021
ぶぢょ	budx#类1#序15017
ブヂョ	budx#次#序16019
ぶえ	buee#类1#序15114
ブエ	buee#次#序16116
建材	buen#类4#序15357
ぼうえんきょう座	buex#类5#序22098
ブファ	bufa#次#序15996
ブフェ	bufe#次#序15994
ブフィ	bufi#次#序15995
ブフォ	bufo#次#序15993
ボウフラ	bufr#类5#序21310
ぶが	buga#类1#序15071
ブガ	buga#次#序16073
ぶぎゅ	bugc#类1#序15024
ブギュ	bugc#次#序16026
ぶげ	buge#类1#序15068
ブゲ	buge#次#序16070
建坪	buge#类4#序15376
ぼうグラフ	bugf#类5#序21311
ぶぎ	bugi#类1#序15070
ブギ	bugi#次#序16072
ぶご	bugo#类1#序15067
ブゴ	bugo#次#序16069
ぶぐ	bugu#类1#序15069
ブグ	bugu#次#序16071
ぶぎゃ	bugv#类1#序15025
ブギャ	bugv#次#序16027
建売	bugw#类4#序15373
ぶぎょ	bugx#类1#序15023
ブギョ	bugx#次#序16025
ぶは	buha#类1#序15092
ブハ	buha#次#序16094
ぶひゅ	buhc#类1#序15033
ブヒュ	buhc#次#序16035
ぶへ	buhe#类1#序15089
ブヘ	buhe#次#序16091
ぶひ	buhi#类1#序15091
ブヒ	buhi#次#序16093
群集心理	buhn#类4#序15087
ぶほ	buho#类1#序15088
ブホ	buho#次#序16090
ぼうはんカメラ	buhr#类5#序21312
ぶふ	buhu#类1#序15090
ブフ	buhu#次#序16092
ぶひゃ	buhv#类1#序15034
ブヒャ	buhv#次#序16036
建前	buhv#类4#序15344
ぶひょ	buhx#类1#序15032
ブヒョ	buhx#次#序16034
ぶい	buii#类1#序15116
ブイ	buii#次#序16118
建立	buil#类4#序15342
ぶざ	buja#类1#序15066
ブザ	buja#次#序16068
ぶじゅ	bujc#类1#序15021
ブジュ	bujc#次#序16023
ぶぜ	buje#类1#序15063
ブゼ	buje#次#序16065
好う候	bujg#类5#序22099
ぶじ	buji#类1#序15065
ブジ	buji#次#序16067
ぶぞ	bujo#类1#序15062
ブゾ	bujo#次#序16064
ぶず	buju#类1#序15064
ブズ	buju#次#序16066
ぶじゃ	bujv#类1#序15022
ブジャ	bujv#次#序16024
ぶじょ	bujx#类1#序15020
ブジョ	bujx#次#序16022
ぶか	buka#类1#序15112
ブカ	buka#次#序16114
ぶきゅ	bukc#类1#序15045
ブキュ	bukc#次#序16047
ぶけ	buke#类1#序15109
ブケ	buke#次#序16111
ぶき	buki#类1#序15111
ブキ	buki#次#序16113
ぼうカメ	bukm#类5#序21313
ぶこ	buko#类1#序15108
ブコ	buko#次#序16110
ぶく	buku#类1#序15110
ブク	buku#次#序16112
ぶきゃ	bukv#类1#序15046
ブキャ	bukv#次#序16048
ぶきょ	bukx#类1#序15044
ブキョ	bukx#次#序16046
ぶぁ	bula#类1#序15010
ブァ	bula#次#序16012
ブュ	bulc#次#序16005
ぶぇ	bule#类1#序15007
ブェ	bule#次#序16009
ブー	bulg#次#序15992
ぶぃ	buli#类1#序15009
ブィ	buli#次#序16011
ぶっ	bull#类1#序15005
ブッ	bull#次#序16007
ぶぉ	bulo#类1#序15006
ブォ	bulo#次#序16008
ぶぅ	bulu#类1#序15008
ブゥ	bulu#次#序16010
ブャ	bulv#次#序16006
ブョ	bulx#次#序16004
ぶま	buma#类1#序15087
ブマ	buma#次#序16089
ぶみゅ	bumc#类1#序15030
ブミュ	bumc#次#序16032
ぶめ	bume#类1#序15084
ブメ	bume#次#序16086
ぶみ	bumi#类1#序15086
ブミ	bumi#次#序16088
バウムクーヘン	bumn#类5#序21314
ぶも	bumo#类1#序15083
ブモ	bumo#次#序16085
ぶむ	bumu#类1#序15085
ブム	bumu#次#序16087
ぶみゃ	bumv#类1#序15031
ブミャ	bumv#次#序16033
ぶみょ	bumx#类1#序15029
ブミョ	bumx#次#序16031
ぶな	buna#类1#序15097
ブナ	buna#次#序16099
ぶにゅ	bunc#类1#序15036
ブニュ	bunc#次#序16038
バウンド	bund#类5#序21315
ぶね	bune#类1#序15094
ブネ	bune#次#序16096
ぶに	buni#类1#序15096
ブニ	buni#次#序16098
ぶん	bunn#类1#序15072
ブン	bunn#次#序16074
ぶの	buno#类1#序15093
ブノ	buno#次#序16095
兜	bunp#类3#序21943
バウンディングボックス	buns#类5#序21316
ぶぬ	bunu#类1#序15095
ブヌ	bunu#次#序16097
ぶにゃ	bunv#类1#序15037
ブニャ	bunv#次#序16039
ぶにょ	bunx#类1#序15035
ブニョ	bunx#次#序16037
ぶお	buoo#类1#序15113
ブオ	buoo#次#序16115
ぶぱ	bupa#类1#序15051
ブパ	bupa#次#序16053
ぶぴゅ	bupc#类1#序15012
ブピュ	bupc#次#序16014
ぶぺ	bupe#类1#序15048
ブペ	bupe#次#序16050
ぶぴ	bupi#类1#序15050
ブピ	bupi#次#序16052
ぶぽ	bupo#类1#序15047
ブポ	bupo#次#序16049
ぶぷ	bupu#类1#序15049
ブプ	bupu#次#序16051
ぶぴゃ	bupv#类1#序15013
ブピャ	bupv#次#序16015
ぶぴょ	bupx#类1#序15011
ブピョ	bupx#次#序16013
建造	buqd#类4#序15351
建具	buqh#类4#序15370
建物	buqn#类4#序15348
ぶら	bura#类1#序15082
ブラ	bura#次#序16084
ぶりゅ	burc#类1#序15027
ブリュ	burc#次#序16029
ぶれ	bure#类1#序15079
ブレ	bure#次#序16081
ボウリング	burg#类5#序21317
ぶり	buri#类1#序15081
ブリ	buri#次#序16083
ボウラー	burl#类5#序21318
建国	burn#类4#序15368
ぶろ	buro#类1#序15078
ブロ	buro#次#序16080
ボウリングボール	burr#类5#序21319
ぶる	buru#类1#序15080
ブル	buru#次#序16082
建築	buru#类4#序15355
ぶりゃ	burv#类1#序15028
ブリャ	burv#次#序16030
ぶりょ	burx#类1#序15026
ブリョ	burx#次#序16028
ぶさ	busa#类1#序15107
ブサ	busa#次#序16109
ぶしゅ	busc#类1#序15042
ブシュ	busc#次#序16044
ぶせ	buse#类1#序15104
ブセ	buse#次#序16106
建議	busg#类4#序15324
ぶし	busi#类1#序15106
ブシ	busi#次#序16108
ぶそ	buso#类1#序15103
ブソ	buso#次#序16105
尋常	busr#类4#序15504
建設	busr#类4#序15327
ぶす	busu#类1#序15105
ブス	busu#次#序16107
ぶしゃ	busv#类1#序15043
ブシャ	busv#次#序16045
ぶしょ	busx#类1#序15041
ブショ	busx#次#序16043
建言	busy#类4#序15322
婢	but#类3#序19638
ぶた	buta#类1#序15102
ブタ	buta#次#序16104
ぶて	bute#类1#序15099
ブテ	bute#次#序16101
ボウタイ	buti#类5#序21320
バウツェン	butn#类5#序21321
ぶと	buto#类1#序15098
ブト	buto#次#序16100
ぶつ	butu#类1#序15100
ブツ	butu#次#序16102
ぶう	buuu#类1#序15115
ブウ	buuu#次#序16117
ブヴァ	buva#次#序16002
ブヴェ	buve#次#序16000
ブヴィ	buvi#次#序16001
ぼう然	buvm#类5#序22100
ブヴォ	buvo#次#序15999
ブヴ	buvu#次#序16003
ぶわ	buwa#类1#序15074
ブワ	buwa#次#序16076
ブウェ	buwe#次#序15997
ブウィ	buwi#次#序15998
ぶを	buwo#类1#序15073
ブヲ	buwo#次#序16075
兜蟹	buxt#类4#序15236
建	buy#类3#序19747
ぶゆ	buyc#类1#序15076
ブユ	buyc#次#序16078
ぶや	buyv#类1#序15077
ブヤ	buyv#次#序16079
ぶよ	buyx#类1#序15075
ブヨ	buyx#次#序16077
びゃ	bv#类1#序15346
ビャ	bv#次#序16378
びゃあ	bvaa#类1#序14778
ビャア	bvaa#次#序15735
びゃば	bvba#类1#序14717
ビャバ	bvba#次#序15674
びゃびゅ	bvbc#类1#序14676
ビャビュ	bvbc#次#序15633
びゃべ	bvbe#类1#序14714
ビャベ	bvbe#次#序15671
びゃび	bvbi#类1#序14716
ビャビ	bvbi#次#序15673
びゃぼ	bvbo#类1#序14713
ビャボ	bvbo#次#序15670
びゃぶ	bvbu#类1#序14715
ビャブ	bvbu#次#序15672
びゃびゃ	bvbv#类1#序14677
ビャビャ	bvbv#次#序15634
びゃびょ	bvbx#类1#序14675
ビャビョ	bvbx#次#序15632
びゃちゅ	bvcc#类1#序14700
ビャチュ	bvcc#次#序15657
びゃち	bvci#类1#序14762
ビャチ	bvci#次#序15719
びゃちゃ	bvcv#类1#序14701
ビャチャ	bvcv#次#序15658
びゃちょ	bvcx#类1#序14699
ビャチョ	bvcx#次#序15656
びゃだ	bvda#类1#序14722
ビャダ	bvda#次#序15679
びゃぢゅ	bvdc#类1#序14679
ビャヂュ	bvdc#次#序15636
びゃで	bvde#类1#序14719
ビャデ	bvde#次#序15676
びゃぢ	bvdi#类1#序14721
ビャヂ	bvdi#次#序15678
びゃど	bvdo#类1#序14718
ビャド	bvdo#次#序15675
びゃづ	bvdu#类1#序14720
ビャヅ	bvdu#次#序15677
びゃぢゃ	bvdv#类1#序14680
ビャヂャ	bvdv#次#序15637
びゃぢょ	bvdx#类1#序14678
ビャヂョ	bvdx#次#序15635
びゃえ	bvee#类1#序14775
ビャエ	bvee#次#序15732
嫖	bvf#类3#序19636
ビャファ	bvfa#次#序15612
ビャフェ	bvfe#次#序15610
ビャフィ	bvfi#次#序15611
ビャフォ	bvfo#次#序15609
びゃが	bvga#类1#序14732
ビャガ	bvga#次#序15689
びゃぎゅ	bvgc#类1#序14685
ビャギュ	bvgc#次#序15642
びゃげ	bvge#类1#序14729
ビャゲ	bvge#次#序15686
びゃぎ	bvgi#类1#序14731
ビャギ	bvgi#次#序15688
びゃご	bvgo#类1#序14728
ビャゴ	bvgo#次#序15685
育児	bvgo#类4#序15033
びゃぐ	bvgu#类1#序14730
ビャグ	bvgu#次#序15687
びゃぎゃ	bvgv#类1#序14686
ビャギャ	bvgv#次#序15643
びゃぎょ	bvgx#类1#序14684
ビャギョ	bvgx#次#序15641
びゃは	bvha#类1#序14753
ビャハ	bvha#次#序15710
びゃひゅ	bvhc#类1#序14694
ビャヒュ	bvhc#次#序15651
びゃへ	bvhe#类1#序14750
ビャヘ	bvhe#次#序15707
びゃひ	bvhi#类1#序14752
ビャヒ	bvhi#次#序15709
びゃほ	bvho#类1#序14749
ビャホ	bvho#次#序15706
びゃふ	bvhu#类1#序14751
ビャフ	bvhu#次#序15708
びゃひゃ	bvhv#类1#序14695
ビャヒャ	bvhv#次#序15652
びゃひょ	bvhx#类1#序14693
ビャヒョ	bvhx#次#序15650
びゃい	bvii#类1#序14777
ビャイ	bvii#次#序15734
妃	bvj#类3#序19666
びゃざ	bvja#类1#序14727
ビャザ	bvja#次#序15684
びゃじゅ	bvjc#类1#序14682
ビャジュ	bvjc#次#序15639
びゃぜ	bvje#类1#序14724
ビャゼ	bvje#次#序15681
びゃじ	bvji#类1#序14726
ビャジ	bvji#次#序15683
びゃぞ	bvjo#类1#序14723
ビャゾ	bvjo#次#序15680
びゃず	bvju#类1#序14725
ビャズ	bvju#次#序15682
びゃじゃ	bvjv#类1#序14683
ビャジャ	bvjv#次#序15640
びゃじょ	bvjx#类1#序14681
ビャジョ	bvjx#次#序15638
びゃか	bvka#类1#序14773
ビャカ	bvka#次#序15730
びゃきゅ	bvkc#类1#序14706
ビャキュ	bvkc#次#序15663
びゃけ	bvke#类1#序14770
ビャケ	bvke#次#序15727
びゃき	bvki#类1#序14772
ビャキ	bvki#次#序15729
びゃこ	bvko#类1#序14769
ビャコ	bvko#次#序15726
びゃく	bvku#类1#序14771
ビャク	bvku#次#序15728
びゃきゃ	bvkv#类1#序14707
ビャキャ	bvkv#次#序15664
びゃきょ	bvkx#类1#序14705
ビャキョ	bvkx#次#序15662
びゃぁ	bvla#类1#序14671
ビャァ	bvla#次#序15628
ビャュ	bvlc#次#序15621
びゃぇ	bvle#类1#序14668
ビャェ	bvle#次#序15625
ビャー	bvlg#次#序15608
びゃぃ	bvli#类1#序14670
ビャィ	bvli#次#序15627
びゃっ	bvll#类1#序14666
ビャッ	bvll#次#序15623
育英	bvlm#类4#序15044
びゃぉ	bvlo#类1#序14667
ビャォ	bvlo#次#序15624
卵胎生	bvls#类4#序15782
びゃぅ	bvlu#类1#序14669
ビャゥ	bvlu#次#序15626
ビャャ	bvlv#次#序15622
ビャョ	bvlx#次#序15620
びゃま	bvma#类1#序14748
ビャマ	bvma#次#序15705
びゃみゅ	bvmc#类1#序14691
ビャミュ	bvmc#次#序15648
びゃめ	bvme#类1#序14745
ビャメ	bvme#次#序15702
びゃみ	bvmi#类1#序14747
ビャミ	bvmi#次#序15704
びゃも	bvmo#类1#序14744
ビャモ	bvmo#次#序15701
びゃむ	bvmu#类1#序14746
ビャム	bvmu#次#序15703
びゃみゃ	bvmv#类1#序14692
ビャミャ	bvmv#次#序15649
びゃみょ	bvmx#类1#序14690
ビャミョ	bvmx#次#序15647
びゃな	bvna#类1#序14758
ビャナ	bvna#次#序15715
育成	bvna#类4#序15042
びゃにゅ	bvnc#类1#序14697
ビャニュ	bvnc#次#序15654
びゃね	bvne#类1#序14755
ビャネ	bvne#次#序15712
びゃに	bvni#类1#序14757
ビャニ	bvni#次#序15714
びゃん	bvnn#类1#序14733
ビャン	bvnn#次#序15690
びゃの	bvno#类1#序14754
ビャノ	bvno#次#序15711
びゃぬ	bvnu#类1#序14756
ビャヌ	bvnu#次#序15713
びゃにゃ	bvnv#类1#序14698
ビャニャ	bvnv#次#序15655
びゃにょ	bvnx#类1#序14696
ビャニョ	bvnx#次#序15653
びゃお	bvoo#类1#序14774
ビャオ	bvoo#次#序15731
びゃぱ	bvpa#类1#序14712
ビャパ	bvpa#次#序15669
びゃぴゅ	bvpc#类1#序14673
ビャピュ	bvpc#次#序15630
びゃぺ	bvpe#类1#序14709
ビャペ	bvpe#次#序15666
びゃぴ	bvpi#类1#序14711
ビャピ	bvpi#次#序15668
びゃぽ	bvpo#类1#序14708
ビャポ	bvpo#次#序15665
びゃぷ	bvpu#类1#序14710
ビャプ	bvpu#次#序15667
びゃぴゃ	bvpv#类1#序14674
ビャピャ	bvpv#次#序15631
びゃぴょ	bvpx#类1#序14672
ビャピョ	bvpx#次#序15629
びゃら	bvra#类1#序14743
ビャラ	bvra#次#序15700
びゃりゅ	bvrc#类1#序14688
ビャリュ	bvrc#次#序15645
びゃれ	bvre#类1#序14740
ビャレ	bvre#次#序15697
びゃり	bvri#类1#序14742
ビャリ	bvri#次#序15699
びゃろ	bvro#类1#序14739
ビャロ	bvro#次#序15696
ボヴリル	bvrr#类5#序21322
びゃる	bvru#类1#序14741
ビャル	bvru#次#序15698
びゃりゃ	bvrv#类1#序14689
ビャリャ	bvrv#次#序15646
びゃりょ	bvrx#类1#序14687
ビャリョ	bvrx#次#序15644
びゃさ	bvsa#类1#序14768
ビャサ	bvsa#次#序15725
びゃしゅ	bvsc#类1#序14703
ビャシュ	bvsc#次#序15660
びゃせ	bvse#类1#序14765
ビャセ	bvse#次#序15722
びゃし	bvsi#类1#序14767
ビャシ	bvsi#次#序15724
びゃそ	bvso#类1#序14764
ビャソ	bvso#次#序15721
びゃす	bvsu#类1#序14766
ビャス	bvsu#次#序15723
びゃしゃ	bvsv#类1#序14704
ビャシャ	bvsv#次#序15661
びゃしょ	bvsx#类1#序14702
ビャショ	bvsx#次#序15659
びゃた	bvta#类1#序14763
ビャタ	bvta#次#序15720
びゃて	bvte#类1#序14760
ビャテ	bvte#次#序15717
びゃと	bvto#类1#序14759
ビャト	bvto#次#序15716
びゃつ	bvtu#类1#序14761
ビャツ	bvtu#次#序15718
びゃう	bvuu#类1#序14776
ビャウ	bvuu#次#序15733
妣	bvv#类3#序19582
聿	bvv#类3#序19748
ビャヴァ	bvva#次#序15618
ビャヴェ	bvve#次#序15616
ビャヴィ	bvvi#次#序15617
ビャヴォ	bvvo#次#序15615
ビャヴ	bvvu#次#序15619
弸	bvvy#类3#序19004
びゃわ	bvwa#类1#序14735
ビャワ	bvwa#次#序15692
ビャウェ	bvwe#次#序15613
ビャウィ	bvwi#次#序15614
びゃを	bvwo#类1#序14734
ビャヲ	bvwo#次#序15691
面対称	bvxx#类4#序12593
育	bvy#类3#序18705
びゃゆ	bvyc#类1#序14737
ビャユ	bvyc#次#序15694
びゃや	bvyv#类1#序14738
ビャヤ	bvyv#次#序15695
びゃよ	bvyx#类1#序14736
ビャヨ	bvyx#次#序15693
弱	bw#类3#序18842
鶸	bwbx#类3#序18826
弱虫	bwcc#类4#序15522
留守居	bwcc#类4#序15384
弱火	bwch#类4#序15520
弱年	bwev#类4#序15516
弱視	bwfe#类4#序15518
嬪	bwfo#类3#序19654
弥次喜多	bwhl#类4#序15527
印象主義	bwig#类4#序15258
弱敵	bwim#类4#序15509
弥次郎兵衛	bwip#类4#序15502
嫁	bwj#类3#序19656
弱体	bwje#类4#序15506
嫁入	bwju#类4#序15245
弱化	bwjv#类4#序15505
婉	bwl#类3#序19651
嫁菜	bwly#类4#序15261
ビワマス	bwms#类5#序21323
弥次馬	bwnm#类4#序15532
娩	bwp#类3#序19643
彙	bwqe#类3#序18958
帚	bwr#类3#序19653
弱国	bwrn#类4#序15521
弱輩	bwry#类4#序15531
弱震	bwtf#类4#序15529
弱電	bwto#类4#序15528
留守番	bwtp#类4#序15382
印象的	bwun#类4#序15299
面従腹背	bwva#类4#序12825
弱気	bwvb#类4#序15515
弱腰	bwvv#类4#序15530
弱冠	bwwm#类4#序15519
弱音	bwxy#类4#序15510
弱点	bwyd#类4#序15524
婉曲	bwyq#类4#序15252
弱小	bwyx#类4#序15523
弱卒	bwzj#类4#序15501
びょ	bx#类1#序15344
ビョ	bx#次#序16376
びょあ	bxaa#类1#序14552
ビョア	bxaa#次#序15479
びょば	bxba#类1#序14491
ビョバ	bxba#次#序15418
びょびゅ	bxbc#类1#序14450
ビョビュ	bxbc#次#序15377
びょべ	bxbe#类1#序14488
ビョベ	bxbe#次#序15415
びょび	bxbi#类1#序14490
ビョビ	bxbi#次#序15417
びょぼ	bxbo#类1#序14487
ビョボ	bxbo#次#序15414
びょぶ	bxbu#类1#序14489
ビョブ	bxbu#次#序15416
びょびゃ	bxbv#类1#序14451
ビョビャ	bxbv#次#序15378
びょびょ	bxbx#类1#序14449
ビョビョ	bxbx#次#序15376
